pool_hash,pool_id,operator_group,source,source_detail
ddeb342bed35ab00242117343ada661db593fb25c55c818f2d3d784f,pool1mh4ng2ldxk4sqfppzu6r4knxrk6e87e9c4wgrred84uy7xauzlh,CCV,pool_groups_current_HEAD,pool_clusters.json group; ticker=CCV2; balanceanalytics_group=CCV; adastat_group=ccv3000.github.io
e0d0ce6856aa952a99cb376b4f882dd376aa6e095dc36c886faaa19c,pool1urgvu6zk422j4xwtxa45lzpd6dm25msfthpkezr042secrtuwzc,CCV,pool_groups_current_HEAD,pool_clusters.json group; ticker=CCV1; balanceanalytics_group=CCV; adastat_group=ccv3000.github.io
cd29aa2b5003b8833a7bcf36b2fef2a4b96b7d07632249dbd432cac8,pool1e556526sqwugxwnmeumt9lhj5jukklg8vv3ynk75xt9vs7adr5y,CHEAP,pool_groups_current_HEAD,pool_clusters.json group; ticker=CHEAP; balanceanalytics_group=CHEAP; adastat_group=cheapstaking.com
e7234026db910ce0ee214056940de0474b252456c3d70907f831eaf3,pool1uu35qfkmjyxwpm3pgptfgr0qga9j2fzkc0tsjplcx840x295xj9,CHEAP,pool_groups_current_HEAD,pool_clusters.json group; ticker=CHEAP; balanceanalytics_group=CHEAP; adastat_group=cheapstaking.com
01cd4b51c0d0a10bb658d9058409dd034bb4a0a9207bdcb8e6850be8,pool1q8x5k5wq6zsshdjcmyzcgzwaqd9mfg9fypaaew8xs597svmeyk4,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
194bdd07976b1461612e7d252032d089afb22bf57426d316fbbf1ace,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
1c8e2b0ad16edffdce4bea70202427842fbecd07420f4c9032cdd59d,pool1rj8zkzk3dm0lmnjtafczqfp8sshmang8gg85eypjeh2e6cve0vl,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=STKD; balanceanalytics_group=CHUCK BUX; adastat_group=None
213a3d69654b8ad86247bf2e3cb50e0ff134a9420781e6711c1bd74c,pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
27526b2d90120f45d36a7fce03c389463b9d60dfb1f062e9c359f0d6,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
28acd2df764365b328c37861ceace7e71caa3a03b2c6a0674562b820,pool19zkd9hmkgdjmx2xr0psuat88uuw25wsrktr2qe69v2uzqldfnmj,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=stake1u8ww9v63kydymm7hslk4mxyte36str9ehdz06lzsu5r4jlq0e2shk
299782c0854785818fa21d91586ba495ad72f493627ba4027d72dbde,pool19xtc9sy9g7zcrrazrkg4s6ayjkkh9aynvfa6gqnawtdauulqxck,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
39b954dce76567d053913149da772c4d8696fba7ed50ed43326b2538,pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=stake1u8ww9v63kydymm7hslk4mxyte36str9ehdz06lzsu5r4jlq0e2shk
3c2dedcde37e09c92571a2beeb091408bd9d79998860a80c837770d5,pool18sk7mn0r0cyujft352lwkzg5pz7e67ve3ps2sryrwacd2r5zhp6,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
4728a525f1ceba2b2a8ca4f5be0ca227ce8be55cf9d4a8883162661f,pool1gu522f03e6azk25v5n6mur9zyl8ghe2ul8223zp3vfnp77fagfa,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
65c47f523eecdd5e3c7c0409c4ac97f08d31982b1d67363f7adc919e,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
9afe4196e31b511405b6d8d5af5c15d120a1fe5422a8d11a23cf3384,pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
b06f6b15e956f1cfdf13685ad8f7dcb302b1006820cb25f18ed62825,pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
b9aaec5680bdc98bb580e5f3b7823beb71056c351bddffdbcf158261,pool1hx4wc45qhhychdvquhem0q3madcs2mp4r0wllk70zkpxz7jhyf4,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
bb285eb816215e1fb3473726ab446df4809cd08ac54643a7c1798a13,pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
c1a4046a73a1cfc1f543357815b823409c7548e592912471d75f2752,pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
ed3ed7e79f9c8ce0a34024a1ab9840749f98257eb3c104ea72386c93,pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,CHUCK BUX,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=CHUCK BUX; adastat_group=None
802441a365ac93b54344d716c1a7db865c1c0d33cf804f8d29cdb0f9,,CMAN,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CMAN1; name=CryptoMan Stake Pool
ace6b013121b0af9bd944bafe54ac3e3ea36d92895f63a677cbc4e10,,CMAN,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CMAN3; name=CryptoMan Stake Pool
d7c3af0c92d7d9ca061cf43a24099b5f43e0387585ee0f55e9fd74cb,,CMAN,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CMAN2; name=CryptoMan Stake Pool
0775f0139af22e1ebf2c3278598816946e750029b70eace3c5135c3e,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,pool_groups_current_HEAD,pool_clusters.json group; ticker=CNODE; balanceanalytics_group=CNODE; adastat_group=cardanode.io
971212db48d9390662faa0fa725950f3b9ac1a898227f5fcf1096399,pool1jufp9k6gmyusvch65ra8yk2s7wu6cx5fsgnltl83p93ejg6h3xg,CNODE,pool_groups_current_HEAD,pool_clusters.json group; ticker=FUND; balanceanalytics_group=CNODE; adastat_group=cardanode.io
f3a168b9c5ec32cf59362d96972b06c00faa480aff8baef33ad1bed7,pool17wsk3ww9asev7kfk9ktfw2cxcq865jq2l796aue66xldwx6cy82,CNODE,pool_groups_current_HEAD,pool_clusters.json group; ticker=FUND3; balanceanalytics_group=CNODE; adastat_group=cardanode.io
fdb0d8ba88d434c8dd3ab3974a3401efc7b016e54c7387c63398aec4,pool1lkcd3w5g6s6v3hf6kwt55dqpalrmq9h9f3ec033nnzhvgjgl860,CNODE,pool_groups_current_HEAD,pool_clusters.json group; ticker=FUND2; balanceanalytics_group=CNODE; adastat_group=cardanode.io
02e183451978d1b0a52806674e702719d73eb3dd5332de3b30b00de4,pool1qtscx3ge0rgmpffgqen5uup8r8tnav7a2veduweskqx7gf8gjec,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=None; adastat_group=n
0322ccfd1f68a8a288057d64428123bb6efed9d6b5c9fe2864db7507,pool1qv3velgldz529zq904jy9qfrhdh0akwkkhylu2rymd6sw9m02cc,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=RVH; balanceanalytics_group=COINBASE; adastat_group=None
050111fdb59ffef538f005d25a1d52c254a594a45abc278416830336,pool1q5q3rld4nll02w8sqhf9582jcf22t99yt27z0pqksvpnv4rdra9,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
061f4c7b5de2c1554690029e2e559272ff4dbcd3aecc02d91aceb5c7,pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=EGH; balanceanalytics_group=COINBASE; adastat_group=None
