epoch,k,decentralisation,min_pool_cost_ada,source,generated_at
310,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
311,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
312,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
313,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
314,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
315,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
316,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
317,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
318,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
319,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
320,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
321,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
322,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
323,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
324,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
325,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
326,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
327,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
328,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
329,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
330,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
331,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
332,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
333,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
334,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
335,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
336,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
337,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
338,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
339,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
340,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
341,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
342,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
343,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
344,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
345,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
346,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
